num_agents,epi,max_step,area_size,n_obs,safe_mean,safe_std,finish_mean,finish_std,success_mean,success_std,max_path_score,min_path_score,mean_path_score,finish_rate,TtR,ma_stl_score,ma_stl_satisfaction,strict_ma_stl_satisfaction,valid_plan_coverage,valid_path_overlap,valid_path_mean_dist,valid_path_clusters,valid_path_max_cluster_fraction,valid_path_occ_entropy,valid_agents_per_cluster,mean_traj_plan_deviation,max_traj_plan_deviation,std_traj_plan_deviation,cumulative_traj_plan_deviation,tasks_completed,tasks_total,task_rate,task_success_rate,tasks_completed_by_monitor,allocation_quality,mean_travel_distance,max_path_score_std,min_path_score_std,mean_path_score_std,finish_rate_std,TtR_std,ma_stl_score_std,ma_stl_satisfaction_std,strict_ma_stl_satisfaction_std,valid_plan_coverage_std,valid_path_overlap_std,valid_path_mean_dist_std,valid_path_clusters_std,valid_path_max_cluster_fraction_std,valid_path_occ_entropy_std,valid_agents_per_cluster_std,mean_traj_plan_deviation_std,max_traj_plan_deviation_std,std_traj_plan_deviation_std,cumulative_traj_plan_deviation_std,tasks_completed_std,tasks_total_std,task_rate_std,task_success_rate_std,tasks_completed_by_monitor_std,allocation_quality_std,mean_travel_distance_std,planner,spec_len,spec,async_planner,map,multiple_goal,team_alloc,plan_time_mean,plan_time_std,comments
32,5,1500,6.0,0,88.125,4.593,75.0,0.0,66.094,3.445,0.47,-1.63,0.18,0.75,881.47,-1.16,0.0,0.0,0.34,0.0,2.82,12.0,0.19,0.97,2.53,0.14,0.43,0.04,2.14,3.0,4.0,0.75,0.3,,,,0.01,0.26,0.05,0.0,36.43,0.14,0.0,0.0,0.02,0.0,0.15,1.41,0.02,0.0,0.4,0.0,0.09,0.01,0.02,0.0,0.0,0.0,0.1,,,,stlpy,15,team_redun4x8_t15,True,,False,greedy,34.8831,0.4865,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1500;ma_stl_spec:team_redun4x8_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,3,900,6.0,0,100.0,0.0,91.667,11.785,91.667,11.785,0.47,-0.48,0.19,0.92,708.62,-0.16,0.67,0.67,0.15,0.0,2.86,6.67,0.21,0.99,1.16,0.14,0.2,0.03,2.16,3.67,4.0,0.92,0.92,,,,0.02,0.71,0.1,0.12,70.3,0.58,0.47,0.47,0.02,0.0,0.31,0.47,0.06,0.0,0.14,0.01,0.0,0.02,0.17,0.47,0.0,0.12,0.12,,,,stlpy,15,team_redun4x2_t15,True,,False,greedy,8.5172,0.1744,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,3,900,6.0,0,100.0,0.0,91.667,11.785,91.667,11.785,0.47,-0.48,0.19,0.92,708.62,-0.16,0.67,0.67,0.15,0.0,2.86,6.67,0.21,0.99,1.16,0.14,0.2,0.03,2.16,3.67,4.0,0.92,0.92,,,,0.02,0.71,0.1,0.12,70.3,0.58,0.47,0.47,0.02,0.0,0.31,0.47,0.06,0.0,0.14,0.01,0.0,0.02,0.17,0.47,0.0,0.12,0.12,,,,stlpy,15,team_redun4x2_t15,True,,False,greedy,8.3279,0.1206,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,3,900,6.0,0,100.0,0.0,91.667,11.785,91.667,11.785,0.47,-0.48,0.19,0.92,708.62,-0.16,0.67,0.67,0.15,0.0,2.86,6.67,0.21,0.99,1.16,0.14,0.2,0.03,2.16,3.67,4.0,0.92,0.92,,,,0.02,0.71,0.1,0.12,70.3,0.58,0.47,0.47,0.02,0.0,0.31,0.47,0.06,0.0,0.14,0.01,0.0,0.02,0.17,0.47,0.0,0.12,0.12,,,,stlpy,15,team_redun4x2_t15,True,,False,greedy,8.6204,0.1341,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
16,3,1200,6.0,0,97.917,2.946,91.667,11.785,89.583,10.623,0.47,-0.49,0.23,0.92,758.78,-0.33,0.67,0.0,0.23,0.0,2.83,10.33,0.17,0.98,1.54,0.15,0.31,0.04,2.27,3.67,4.0,0.92,0.83,,,,0.01,0.7,0.06,0.12,73.39,0.76,0.47,0.0,0.02,0.0,0.28,1.25,0.06,0.0,0.18,0.01,0.1,0.01,0.11,0.47,0.0,0.12,0.12,,,,stlpy,15,team_redun4x4_t15,True,,False,greedy,18.5905,1.4097,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1200;ma_stl_spec:team_redun4x4_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,3,2400,6.0,0,100.0,0.0,100.0,0.0,100.0,0.0,0.5,0.18,0.37,1.0,811.83,0.09,1.0,1.0,0.06,0.0,3.96,5.0,0.42,0.95,1.64,0.07,0.19,0.07,1.12,1.0,1.0,1.0,1.0,,,,0.0,0.06,0.01,0.0,47.84,0.04,0.0,0.0,0.0,0.0,0.34,0.82,0.12,0.01,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,3.3782,0.0809,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2400;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
16,3,2700,6.0,0,83.333,15.59,66.667,47.14,62.5,44.488,0.5,-0.86,0.24,0.67,845.13,-0.87,0.33,0.0,0.07,0.0,3.75,5.33,0.42,0.93,2.83,0.12,1.37,0.18,1.78,0.67,1.0,0.67,0.33,,,,0.0,1.08,0.13,0.47,85.01,1.06,0.47,0.0,0.01,0.0,0.34,0.94,0.03,0.01,0.47,0.07,1.57,0.16,1.02,0.47,0.0,0.47,0.47,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,6.6757,0.0877,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2700;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
32,3,3600,6.0,0,76.042,5.311,100.0,0.0,76.042,5.311,0.5,-0.07,0.35,1.0,1083.72,-0.1,0.67,0.0,0.11,0.0,3.61,5.33,0.46,0.91,5.94,0.07,0.27,0.07,1.1,1.0,1.0,1.0,0.0,,,,0.0,0.06,0.01,0.0,36.64,0.06,0.47,0.0,0.01,0.0,0.12,0.94,0.01,0.01,1.1,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,13.765,0.5032,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:3600;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,3,2400,6.0,0,91.667,11.785,100.0,0.0,91.667,11.785,0.5,0.23,0.32,1.0,1244.33,0.14,1.0,0.0,0.06,0.0,3.05,3.0,0.67,0.94,2.89,0.11,0.35,0.06,1.63,1.0,1.0,1.0,0.67,,,,0.0,0.02,0.0,0.0,55.24,0.01,0.0,0.0,0.01,0.0,0.26,0.82,0.12,0.01,0.83,0.0,0.03,0.0,0.05,0.0,0.0,0.0,0.47,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,3.7271,0.0586,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2400;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
16,3,2700,6.0,0,79.167,2.946,100.0,0.0,79.167,2.946,0.5,0.22,0.32,1.0,1318.92,0.11,1.0,0.0,0.09,0.0,3.0,3.67,0.75,0.92,5.07,0.11,0.3,0.06,1.63,1.0,1.0,1.0,0.0,,,,0.0,0.01,0.01,0.0,46.56,0.02,0.0,0.0,0.0,0.0,0.12,1.25,0.0,0.01,2.1,0.0,0.12,0.0,0.05,0.0,0.0,0.0,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,7.4799,0.1018,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2700;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
32,3,3600,6.0,0,46.875,8.839,66.667,47.14,35.417,25.043,0.5,-0.54,0.27,0.67,1726.07,-0.58,0.67,0.0,0.12,0.0,2.96,4.33,0.72,0.9,8.74,0.13,1.16,0.13,1.98,0.67,1.0,0.67,0.0,,,,0.0,0.99,0.06,0.47,107.77,0.93,0.47,0.0,0.0,0.0,0.09,1.7,0.04,0.01,4.09,0.03,0.84,0.09,0.4,0.47,0.0,0.47,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,14.8097,0.102,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:3600;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,1,2400,6.0,0,100.0,0.0,100.0,0.0,100.0,0.0,0.33,0.11,0.23,1.0,1348.5,0.16,1.0,1.0,0.09,0.0,2.01,3.0,0.75,0.95,2.67,0.15,0.38,0.01,2.19,2.0,2.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,5.4475,0.0,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2400;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,3,2400,6.0,0,100.0,0.0,100.0,0.0,100.0,0.0,0.32,0.12,0.22,1.0,1344.33,0.17,1.0,1.0,0.09,0.0,2.12,3.0,0.67,0.94,2.89,0.15,0.33,0.02,2.18,2.0,2.0,1.0,1.0,,,,0.0,0.03,0.01,0.0,48.06,0.01,0.0,0.0,0.01,0.0,0.1,0.82,0.12,0.01,0.83,0.01,0.1,0.0,0.1,0.0,0.0,0.0,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,5.4086,0.0865,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2400;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
16,3,2700,6.0,0,77.083,11.785,100.0,0.0,77.083,11.785,0.31,0.09,0.2,1.0,1480.17,0.16,1.0,0.0,0.12,0.0,2.06,3.0,0.75,0.93,5.78,0.15,0.32,0.01,2.21,2.0,2.0,1.0,0.33,,,,0.03,0.01,0.01,0.0,132.23,0.01,0.0,0.0,0.01,0.0,0.07,0.82,0.0,0.01,1.66,0.0,0.12,0.0,0.04,0.0,0.0,0.0,0.24,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,10.248,0.152,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2700;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
32,3,3600,6.0,0,36.458,2.946,66.667,23.57,25.0,11.049,0.33,0.01,0.2,0.67,2145.38,0.1,1.0,0.0,0.16,0.0,2.01,2.67,0.74,0.9,13.25,0.16,0.74,0.04,2.34,1.33,2.0,0.67,0.17,,,,0.03,0.04,0.01,0.24,49.92,0.03,0.0,0.0,0.01,0.0,0.02,0.94,0.01,0.01,3.89,0.01,0.07,0.03,0.09,0.47,0.0,0.24,0.24,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,20.2838,0.2346,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:3600;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,5,2400,6.0,0,95.0,10.0,100.0,0.0,95.0,10.0,0.32,0.12,0.22,1.0,1323.0,0.17,1.0,0.0,0.09,0.0,2.07,2.8,0.7,0.94,3.07,0.14,0.32,0.02,2.11,2.0,2.0,1.0,0.9,,,,0.01,0.03,0.01,0.0,99.84,0.01,0.0,0.0,0.01,0.0,0.1,0.75,0.1,0.01,0.8,0.01,0.1,0.0,0.11,0.0,0.0,0.0,0.2,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,5.2057,0.182,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2400;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,10,2400,6.0,0,92.5,11.456,100.0,0.0,92.5,11.456,0.32,0.13,0.22,1.0,1307.75,0.17,1.0,0.0,0.09,0.0,2.12,2.9,0.69,0.95,2.93,0.14,0.3,0.02,2.12,2.0,2.0,1.0,0.85,,,,0.03,0.03,0.01,0.0,111.1,0.01,0.0,0.0,0.01,0.0,0.1,0.7,0.13,0.01,0.74,0.01,0.09,0.0,0.09,0.0,0.0,0.0,0.23,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,5.3936,0.2254,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2400;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
16,10,2700,6.0,0,72.5,6.96,95.0,15.0,68.75,12.5,0.31,-0.09,0.18,0.95,1549.96,-0.03,0.9,0.0,0.12,0.0,2.01,2.9,0.74,0.93,5.9,0.16,0.72,0.05,2.39,1.9,2.0,0.95,0.3,,,,0.02,0.59,0.07,0.15,113.6,0.51,0.3,0.0,0.01,0.0,0.11,0.83,0.03,0.01,1.62,0.04,0.76,0.09,0.53,0.3,0.0,0.15,0.24,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,10.3848,0.1696,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2700;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
32,10,3600,6.0,0,38.75,6.585,70.0,24.495,41.719,9.361,0.32,-0.02,0.2,0.7,1959.01,0.08,1.0,0.0,0.16,0.0,2.01,2.8,0.73,0.9,12.38,0.15,0.59,0.02,2.24,1.4,2.0,0.7,0.0,,,,0.03,0.08,0.01,0.24,60.1,0.05,0.0,0.0,0.01,0.0,0.04,0.98,0.02,0.01,3.46,0.0,0.2,0.0,0.04,0.49,0.0,0.24,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,20.7699,0.266,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:3600;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
