num_agents,epi,max_step,area_size,n_obs,safe_mean,safe_std,finish_mean,finish_std,success_mean,success_std,max_path_score,min_path_score,mean_path_score,finish_rate,TtR,ma_stl_score,ma_stl_satisfaction,strict_ma_stl_satisfaction,valid_plan_coverage,valid_path_overlap,valid_path_mean_dist,valid_path_clusters,valid_path_max_cluster_fraction,valid_path_occ_entropy,valid_agents_per_cluster,mean_traj_plan_deviation,max_traj_plan_deviation,std_traj_plan_deviation,cumulative_traj_plan_deviation,tasks_completed,tasks_total,task_rate,task_success_rate,tasks_completed_by_monitor,allocation_quality,mean_travel_distance,max_path_score_std,min_path_score_std,mean_path_score_std,finish_rate_std,TtR_std,ma_stl_score_std,ma_stl_satisfaction_std,strict_ma_stl_satisfaction_std,valid_plan_coverage_std,valid_path_overlap_std,valid_path_mean_dist_std,valid_path_clusters_std,valid_path_max_cluster_fraction_std,valid_path_occ_entropy_std,valid_agents_per_cluster_std,mean_traj_plan_deviation_std,max_traj_plan_deviation_std,std_traj_plan_deviation_std,cumulative_traj_plan_deviation_std,tasks_completed_std,tasks_total_std,task_rate_std,task_success_rate_std,tasks_completed_by_monitor_std,allocation_quality_std,mean_travel_distance_std,planner,spec_len,spec,async_planner,map,multiple_goal,team_alloc,plan_time_mean,plan_time_std,comments
8,1,2400,6.0,0,100.0,0.0,100.0,0.0,100.0,0.0,0.33,0.11,0.23,1.0,1348.5,0.16,1.0,1.0,0.09,0.0,2.01,3.0,0.75,0.95,2.67,0.15,0.38,0.01,2.19,2.0,2.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,5.9143,0.0,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2400;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
16,1,2700,6.0,0,93.75,0.0,100.0,0.0,93.75,0.0,0.33,0.07,0.21,1.0,1547.25,0.14,1.0,0.0,0.13,0.0,2.09,3.0,0.75,0.93,5.33,0.15,0.59,0.02,2.25,2.0,2.0,1.0,0.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,10.4831,0.0,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2700;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,1,2400,6.0,0,100.0,0.0,100.0,0.0,100.0,0.0,0.33,0.11,0.23,1.0,1348.5,0.16,1.0,1.0,0.09,0.0,2.01,3.0,0.75,0.95,2.67,0.15,0.38,0.01,2.19,2.0,2.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,5.4144,0.0,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2400;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,1,2400,6.0,0,100.0,0.0,100.0,0.0,100.0,0.0,0.33,0.11,0.23,1.0,1348.5,0.16,1.0,1.0,0.09,0.0,2.01,3.0,0.75,0.95,2.67,0.15,0.38,0.01,2.19,2.0,2.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,5.3411,0.0,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2400;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
16,1,2700,6.0,0,87.5,0.0,100.0,0.0,87.5,0.0,0.33,0.07,0.22,1.0,1519.75,0.14,1.0,0.0,0.13,0.0,2.07,3.0,0.75,0.93,5.33,0.15,0.38,0.01,2.21,2.0,2.0,1.0,0.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,stlpy,15,team_choiceseq3_t15,True,,False,greedy,10.2949,0.0,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:2700;ma_stl_spec:team_choiceseq3_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,5,900,6.0,0,100.0,0.0,85.0,12.247,85.0,12.247,0.45,-1.09,0.11,0.85,682.79,-0.73,0.4,0.4,0.13,0.0,2.95,6.2,0.2,0.99,1.17,0.14,0.28,0.04,2.08,3.4,4.0,0.85,0.85,,,,0.03,1.01,0.13,0.12,66.57,0.86,0.49,0.49,0.01,0.0,0.3,0.4,0.06,0.0,0.15,0.01,0.17,0.02,0.09,0.49,0.0,0.12,0.12,,,,stlpy,15,team_redun4x2_t15,True,,False,greedy,8.209,0.0984,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,5,900,6.0,0,100.0,0.0,90.0,12.247,90.0,12.247,0.47,-0.39,0.26,0.9,644.71,-0.28,0.6,0.6,0.12,0.0,3.06,5.8,0.25,0.99,1.3,0.16,0.46,0.09,2.38,3.6,4.0,0.9,0.9,,,,0.02,0.65,0.09,0.12,72.93,0.69,0.49,0.49,0.01,0.0,0.21,0.98,0.0,0.0,0.13,0.05,0.52,0.12,0.75,0.49,0.0,0.12,0.12,,,,stlpy,15,team_redun4x2_t15,True,,False,oracle_hungarian,8.299,0.1057,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_alloc:oracle_hungarian;team_spec_success_mode:True;team_avoid:True
8,5,900,6.0,0,100.0,0.0,85.0,12.247,85.0,12.247,0.45,-1.09,0.13,0.85,580.29,-0.75,0.4,0.4,0.13,0.0,2.95,6.2,0.2,0.99,1.17,0.19,0.34,0.06,2.81,3.4,4.0,0.85,0.85,,,,0.02,1.01,0.12,0.12,67.9,0.87,0.49,0.49,0.02,0.0,0.31,0.4,0.06,0.0,0.15,0.01,0.0,0.02,0.2,0.49,0.0,0.12,0.12,,,,stlpy,15,team_redun4x2_t15,True,,False,greedy,8.1853,0.0945,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True;use_critical_waypoints:True
16,5,1200,6.0,0,98.75,2.5,75.0,15.811,74.062,15.922,0.47,-1.6,0.08,0.75,755.95,-0.97,0.2,0.0,0.2,0.0,2.86,9.2,0.16,0.98,1.53,0.14,0.39,0.05,2.05,3.0,4.0,0.75,0.7,,,,0.01,0.81,0.11,0.16,48.89,0.64,0.4,0.0,0.02,0.0,0.25,1.17,0.05,0.0,0.24,0.01,0.2,0.02,0.13,0.63,0.0,0.16,0.19,,,,stlpy,15,team_redun4x4_t15,True,,False,greedy,16.2383,0.1748,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1200;ma_stl_spec:team_redun4x4_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
16,5,1200,6.0,0,91.25,8.478,85.0,12.247,76.562,4.193,0.47,-0.95,0.23,0.85,735.61,-0.74,0.4,0.0,0.19,0.0,2.95,8.8,0.24,0.97,1.71,0.13,0.25,0.03,2.01,3.4,4.0,0.85,0.55,,,,0.01,0.76,0.06,0.12,63.5,0.79,0.49,0.0,0.02,0.0,0.2,1.17,0.03,0.0,0.23,0.01,0.05,0.01,0.13,0.49,0.0,0.12,0.19,,,,stlpy,15,team_redun4x4_t15,True,,False,oracle_hungarian,16.7502,0.7793,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1200;ma_stl_spec:team_redun4x4_t15_t15;ma_stl_exp_rob:True;team_alloc:oracle_hungarian;team_spec_success_mode:True;team_avoid:True
16,5,1200,6.0,0,97.5,3.062,75.0,15.811,72.812,13.961,0.46,-1.6,0.08,0.75,676.8,-0.99,0.2,0.0,0.2,0.0,2.91,9.6,0.16,0.98,1.48,0.19,0.43,0.07,2.82,3.0,4.0,0.75,0.65,,,,0.03,0.81,0.12,0.16,60.37,0.66,0.4,0.0,0.02,0.0,0.25,1.2,0.05,0.0,0.22,0.01,0.16,0.02,0.21,0.63,0.0,0.16,0.12,,,,stlpy,15,team_redun4x4_t15,True,,False,greedy,16.8726,0.5235,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1200;ma_stl_spec:team_redun4x4_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True;use_critical_waypoints:True
32,5,1500,6.0,0,90.625,5.229,75.0,0.0,67.969,3.922,0.47,-2.03,0.1,0.75,862.45,-1.17,0.0,0.0,0.33,0.0,2.81,11.8,0.19,0.97,2.46,0.14,0.48,0.05,2.06,3.0,4.0,0.75,0.25,,,,0.01,0.12,0.05,0.0,45.61,0.2,0.0,0.0,0.02,0.0,0.16,1.72,0.02,0.0,0.37,0.01,0.22,0.01,0.08,0.0,0.0,0.0,0.16,,,,stlpy,15,team_redun4x8_t15,True,,False,greedy,33.6708,1.2785,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1500;ma_stl_spec:team_redun4x8_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
32,5,1500,6.0,0,80.625,8.705,80.0,10.0,65.0,13.883,0.47,-1.17,0.21,0.8,887.5,-0.97,0.2,0.0,0.29,0.0,2.88,9.0,0.23,0.96,3.41,0.14,0.46,0.04,2.11,3.2,4.0,0.8,0.2,,,,0.01,0.6,0.03,0.1,52.93,0.58,0.4,0.0,0.02,0.0,0.13,1.26,0.03,0.0,0.53,0.0,0.05,0.01,0.07,0.4,0.0,0.1,0.19,,,,stlpy,15,team_redun4x8_t15,True,,False,oracle_hungarian,32.6657,0.2775,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1500;ma_stl_spec:team_redun4x8_t15_t15;ma_stl_exp_rob:True;team_alloc:oracle_hungarian;team_spec_success_mode:True;team_avoid:True
32,5,1500,6.0,0,85.0,6.06,75.0,0.0,63.75,4.545,0.48,-2.03,0.11,0.75,733.06,-1.16,0.0,0.0,0.33,0.0,2.83,11.6,0.19,0.97,2.53,0.2,0.51,0.07,3.0,3.0,4.0,0.75,0.2,,,,0.0,0.12,0.05,0.0,43.55,0.18,0.0,0.0,0.03,0.0,0.18,1.85,0.02,0.0,0.41,0.01,0.2,0.01,0.12,0.0,0.0,0.0,0.19,,,,stlpy,15,team_redun4x8_t15,True,,False,greedy,32.4334,0.0987,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1500;ma_stl_spec:team_redun4x8_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True;use_critical_waypoints:True
8,5,900,6.0,0,100.0,0.0,100.0,0.0,100.0,0.0,0.45,-1.09,0.11,1.0,682.79,0.0,1.0,1.0,0.13,0.0,2.95,6.2,0.2,0.99,1.17,0.14,0.28,0.04,2.08,4.0,4.0,1.0,1.0,,,,0.03,1.01,0.13,0.0,66.57,0.0,0.0,0.0,0.01,0.0,0.3,0.4,0.06,0.0,0.15,0.01,0.17,0.02,0.09,0.0,0.0,0.0,0.0,,,,stlpy,15,team_redun4x2_t15,True,,False,greedy,8.126,0.0815,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
8,5,900,6.0,0,100.0,0.0,100.0,0.0,100.0,0.0,0.47,-0.39,0.26,1.0,644.71,0.0,1.0,1.0,0.12,0.0,3.06,5.8,0.25,0.99,1.3,0.16,0.46,0.09,2.38,4.0,4.0,1.0,1.0,,,,0.02,0.65,0.09,0.0,72.93,0.0,0.0,0.0,0.01,0.0,0.21,0.98,0.0,0.0,0.13,0.05,0.52,0.12,0.75,0.0,0.0,0.0,0.0,,,,stlpy,15,team_redun4x2_t15,True,,False,oracle_hungarian,8.4738,0.3743,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_alloc:oracle_hungarian;team_spec_success_mode:True;team_avoid:True
8,5,900,6.0,0,100.0,0.0,100.0,0.0,100.0,0.0,0.45,-1.09,0.13,1.0,580.29,0.0,1.0,1.0,0.13,0.0,2.95,6.2,0.2,0.99,1.17,0.19,0.34,0.06,2.81,4.0,4.0,1.0,1.0,,,,0.02,1.01,0.12,0.0,67.9,0.0,0.0,0.0,0.02,0.0,0.31,0.4,0.06,0.0,0.15,0.01,0.0,0.02,0.2,0.0,0.0,0.0,0.0,,,,stlpy,15,team_redun4x2_t15,True,,False,greedy,8.1848,0.1237,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:900;ma_stl_spec:team_redun4x2_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True;use_critical_waypoints:True
16,5,1200,6.0,0,98.75,2.5,100.0,0.0,98.75,2.5,0.47,-1.6,0.08,1.0,757.38,0.0,1.0,0.0,0.2,0.0,2.86,9.2,0.16,0.98,1.53,0.14,0.39,0.05,2.05,4.0,4.0,1.0,0.95,,,,0.01,0.81,0.11,0.0,48.41,0.0,0.0,0.0,0.02,0.0,0.25,1.17,0.05,0.0,0.24,0.01,0.2,0.02,0.13,0.0,0.0,0.0,0.1,,,,stlpy,15,team_redun4x4_t15,True,,False,greedy,11.2659,0.1717,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1200;ma_stl_spec:team_redun4x4_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True
16,5,1200,6.0,0,91.25,8.478,100.0,0.0,91.25,8.478,0.47,-0.95,0.23,1.0,736.18,0.0,1.0,0.0,0.19,0.0,2.95,8.8,0.24,0.97,1.71,0.13,0.25,0.03,2.01,4.0,4.0,1.0,0.7,,,,0.01,0.76,0.06,0.0,63.87,0.0,0.0,0.0,0.02,0.0,0.2,1.17,0.03,0.0,0.23,0.01,0.05,0.01,0.13,0.0,0.0,0.0,0.29,,,,stlpy,15,team_redun4x4_t15,True,,False,oracle_hungarian,11.2659,0.1687,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1200;ma_stl_spec:team_redun4x4_t15_t15;ma_stl_exp_rob:True;team_alloc:oracle_hungarian;team_spec_success_mode:True;team_avoid:True
16,5,1200,6.0,0,97.5,3.062,100.0,0.0,97.5,3.062,0.46,-1.6,0.08,1.0,677.13,0.0,1.0,0.0,0.2,0.0,2.91,9.6,0.16,0.98,1.48,0.19,0.43,0.07,2.82,4.0,4.0,1.0,0.9,,,,0.03,0.81,0.12,0.0,60.02,0.0,0.0,0.0,0.02,0.0,0.25,1.2,0.05,0.0,0.22,0.01,0.16,0.02,0.21,0.0,0.0,0.0,0.12,,,,stlpy,15,team_redun4x4_t15,True,,False,greedy,11.2659,0.1865,stl_mixed_spec_mode:first1;goal_sample_interval:20;plan_length:15;max_step:1200;ma_stl_spec:team_redun4x4_t15_t15;ma_stl_exp_rob:True;team_spec_success_mode:True;team_avoid:True;use_critical_waypoints:True
