spec,num_agents,epi,planner,team_alloc,team_disjunctive,team_avoid,global_stl_only,ma_stl_loss_coeff,achievable_loss_coeff,achievable_guidance,env_gcbf_goal_scale,area_size,success_mean,success_std,safe_mean,task_rate,task_rate_std,task_success_rate,TtR,TtR_std,plan_time_mean,plan_time_std,finish_rate,id,url,gs,_source,tags
team_choiceseq3,32,10,diffusion,greedy,True,True,False,1,0.1,False,,6,63.74999999999999,11.792476415070755,63.74999999999999,1.0,0.0,0.05000000074505806,2400.333251953125,327.06341552734375,1.5175,0.9089,1.0,pekvedyf,https://wandb.ai/csbric/gcbfplus-stl-test/runs/pekvedyf,1.0,choiceseq_v2,"a6,emergent,spec-v2,team-final"
team_choiceseq3,32,10,diffusion,oracle_hungarian,False,True,False,1,0.1,False,,6,71.25,16.875,74.6875,0.949999988079071,0.14999999105930328,0.0,2676.926025390625,897.5642700195312,42.3632,1.2832,0.949999988079071,u1oohbfl,https://wandb.ai/csbric/gcbfplus-stl-test/runs/u1oohbfl,1.0,choiceseq_v2,"a6,hungarian,spec-v2,team-final"
team_choiceseq3,32,10,stlpy,oracle_hungarian,False,True,False,1,0.1,False,,6,14.6875,3.8400642898264086,29.375,0.5,0.0,0.0,,,22.5662,0.7974,0.5,ehzt1er1,https://wandb.ai/csbric/gcbfplus-stl-test/runs/ehzt1er1,1.0,choiceseq_v2,"a6,spec-v2,stlpy-hungarian,team-final"
team_choiceseq3,16,10,diffusion,greedy,True,True,False,1,0.1,False,,6,98.75,3.75,98.75,1.0,0.0,0.5,1845.300048828125,135.95469665527344,12.0232,2.2192,1.0,tk5zcwmj,https://wandb.ai/csbric/gcbfplus-stl-test/runs/tk5zcwmj,1.0,choiceseq_v2,"a6,emergent,nan-fix,spec-v2,stagger,team-final"
team_choiceseq3,16,10,diffusion,greedy,True,True,False,1,0.1,False,,6,89.375,11.875,89.375,1.0,0.0,0.4000000059604645,2148.58349609375,561.4722290039062,0.661,0.15,1.0,z80pi2kz,https://wandb.ai/csbric/gcbfplus-stl-test/runs/z80pi2kz,1.0,choiceseq_v2,"a6,emergent,spec-v2,stagger,team-final"
team_choiceseq3,32,10,stlpy,oracle_hungarian,False,True,False,1,0.1,False,,6,12.968750000000002,5.089530460906979,25.937500000000004,0.5,0.0,0.0,,,22.5154,0.7564,0.5,pqivsg3s,https://wandb.ai/csbric/gcbfplus-stl-test/runs/pqivsg3s,1.0,choiceseq_v2,"a6,spec-v2,stagger,stlpy-hungarian,team-final"
team_choiceseq3,32,10,diffusion,greedy,True,True,False,1,0.1,False,,6,56.875,13.750000000000002,56.875,1.0,0.0,0.0,2949.924072265625,478.21337890625,3.6851,2.1937,1.0,x77tjtj4,https://wandb.ai/csbric/gcbfplus-stl-test/runs/x77tjtj4,1.0,choiceseq_v2,"a6,emergent,nan-fix,spec-v2,stagger,team-final"
team_choiceseq3,32,10,diffusion,greedy_last,False,True,False,1,0.1,False,,6,71.25,17.940875118009156,75.0,0.949999988079071,0.14999999105930328,0.0,2259.0927734375,187.31011962890625,40.3597,0.9409,0.949999988079071,p92uni9i,https://wandb.ai/csbric/gcbfplus-stl-test/runs/p92uni9i,1.0,choiceseq_v2,"a6,alloc-sweep,nan-fix,spec-v2,stagger,team-final"
team_choiceseq3,8,10,stlpy_global,greedy,False,True,False,1,0.1,False,,6,58.12500000000001,22.543360996089294,88.75,0.6500000357627869,0.22912877798080444,0.45000001788139343,973.1428833007812,62.14288330078125,832.297,9.8875,0.6500000357627869,4lozy92j,https://wandb.ai/csbric/gcbfplus-stl-test/runs/4lozy92j,1.0,choiceseq_v2,"a6,spec-v2,stlpy-global,team-final"
team_choiceseq3,32,10,diffusion,greedy,False,True,False,1,0.1,False,,6,77.5,14.973935688388673,81.5625,0.949999988079071,0.14999999105930328,0.0,2434.75,937.2872924804688,40.3192,1.2817,0.949999988079071,p01vmix3,https://wandb.ai/csbric/gcbfplus-stl-test/runs/p01vmix3,1.0,choiceseq_v2,"a6,alloc-sweep,nan-fix,spec-v2,stagger,team-final"
team_choiceseq3,32,10,diffusion,random,False,True,False,1,0.1,False,,6,69.6875,13.481034131326869,73.75,0.949999988079071,0.14999999105930328,0.0,2206.27783203125,334.12921142578125,40.5547,1.4283,0.949999988079071,1gj5ttk8,https://wandb.ai/csbric/gcbfplus-stl-test/runs/1gj5ttk8,1.0,choiceseq_v2,"a6,alloc-sweep,nan-fix,spec-v2,stagger,team-final"
team_choiceseq3,32,10,stlpy,random,False,True,False,1,0.1,False,,6,31.5625,10.048709494258453,43.4375,0.75,0.25,0.0,1751.6966552734375,160.0896453857422,18.1568,0.3981,0.75,jrhritl6,https://wandb.ai/csbric/gcbfplus-stl-test/runs/jrhritl6,1.0,choiceseq_v2,"a6,alloc-sweep,spec-v2,stagger,team-final"
team_choiceseq3,32,10,stlpy,greedy,False,True,False,1,0.1,False,,6,36.09375,13.983283826143985,43.125,0.8500000238418579,0.22912877798080444,0.05000000074505806,1776.7679443359375,157.8520965576172,17.9093,0.3853,0.8500000238418579,71w7ebwy,https://wandb.ai/csbric/gcbfplus-stl-test/runs/71w7ebwy,1.0,choiceseq_v2,"a6,alloc-sweep,spec-v2,stagger,team-final"
team_choiceseq3,32,10,diffusion,oracle_hungarian,False,True,False,1,0.1,False,,6,72.34375,14.55810690174035,76.5625,0.949999988079071,0.14999999105930328,0.0,2531.337158203125,588.2669067382812,39.8109,1.2271,0.949999988079071,mi2dk7p4,https://wandb.ai/csbric/gcbfplus-stl-test/runs/mi2dk7p4,1.0,choiceseq_v2,"a6,alloc-sweep,nan-fix,spec-v2,stagger,team-final"
team_choiceseq3,32,10,stlpy,greedy_last,False,True,False,1,0.1,False,,6,23.59375,9.515868736615696,32.1875,0.75,0.25,0.0,2159.0,153.3857421875,19.0096,0.542,0.75,vyw1ootm,https://wandb.ai/csbric/gcbfplus-stl-test/runs/vyw1ootm,1.0,choiceseq_v2,"a6,alloc-sweep,spec-v2,stagger,team-final"
team_choiceseq3,32,10,diffusion,greedy,False,True,False,1,0.1,True,1.0,6,55.15624999999999,20.034759832912897,68.75,0.800000011920929,0.24494898319244385,0.0,2243.5,49.0,285.6115,2.9279,0.800000011920929,x1qnfy1b,https://wandb.ai/csbric/gcbfplus-stl-test/runs/x1qnfy1b,1.0,choiceseq_v2,"a6,ach,combo-sweep,nan-fix,spec-v2,stagger,team-final"
team_choiceseq3,32,10,diffusion,greedy,False,True,False,1,0.1,False,1.0,6,71.40625,14.423322313617623,75.3125,0.949999988079071,0.14999999105930328,0.0,2459.58349609375,1011.4534301757812,41.8133,1.0949,0.949999988079071,czty094f,https://wandb.ai/csbric/gcbfplus-stl-test/runs/czty094f,1.0,choiceseq_v2,"a6,combo-sweep,nan-fix,spec-v2,stagger,team-final"
team_choiceseq3,32,10,diffusion,oracle_hungarian,False,True,False,1,0.1,False,1.0,6,71.875,12.655285457072866,71.875,1.0,0.0,0.0,2741.0,787.6565551757812,42.3035,1.2928,1.0,u22amidt,https://wandb.ai/csbric/gcbfplus-stl-test/runs/u22amidt,1.0,choiceseq_v2,"a6,combo-sweep,nan-fix,spec-v2,stagger,team-final"
team_choiceseq3,32,10,diffusion,greedy,True,True,False,1,0.1,True,1.0,6,58.75,9.662265521087692,58.75,1.0,0.0,0.05000000074505806,2458.53173828125,420.0531005859375,38.4807,25.5256,1.0,2ns994o8,https://wandb.ai/csbric/gcbfplus-stl-test/runs/2ns994o8,1.0,choiceseq_v2,"a6,ach,combo-sweep,emergent,nan-fix,spec-v2,stagger,team-final"
