fig,spec,spec_label,num_agents,planner_label,role,source,reproducible,run_id,project,url,commit,created,host,env,repro_args,orig_args,log_suffix,epi,max_step,area_size,spec_len,stl_mixed_spec_mode,diffusion_method,achievable_guidance,use_batched_sampling,random_goals_region,team_alloc,gs,ref_success_mean,ref_success_std,ref_safe_mean,ref_safe_std,ref_finish_rate,ref_finish_rate_std,ref_TtR,ref_TtR_std,ref_plan_time_mean,ref_plan_time_std,ref_task_rate,ref_task_rate_std,note
random_loc,mseq3,Seq.,32,STLPY-SA,bar,random_loc,yes,2l9fp8se,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/2l9fp8se,8499d431,2026-07-05,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 32 --spec mseq3 --planner stlpy,--path ./pretrained/DubinsCar/gcbf+/ --area-size 6 --obs 0 --nojit-rollout --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log --random-goals --traced-goals --change_goal_immediately --epi 10 -n 32 --spec mseq3 --wandb-tags random-loc-grid-a6 --planner stlpy,_repro_2l9fp8se,10,3600.0,6,15,first1,edm-ma,False,False,,greedy,,63.74999999999999,14.537129187016257,70.0,15.064963491492437,0.921875,0.05633673816919327,1117.8153076171875,139.65452575683594,15.4035,0.2925,,,
random_loc,mseq3,Seq.,32,Gradient,bar,random_loc,no-code,ufzwjfb6,diff-mastl-test,https://wandb.ai/csbric/diff-mastl-test/runs/ufzwjfb6,0274dda0,2026-07-06,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --epi 5 --area-size 6 --obs 0 --seed 1234 --nojit-rollout --spec-len 30 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log -n 32 --spec mseq3 --planner ce_nl --random-goals,--path pretrained/DubinsCar/gcbf+/ --epi 5 --area-size 6 --obs 0 --seed 1234 --nojit-rollout --spec-len 30 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log -n 32 --spec mseq3 --planner ce_nl --random-goals,_repro_ufzwjfb6,5,4200.0,6,30,first1,edm-ma,False,False,,,,16.25,13.462912017836262,74.375,21.596440678963745,0.30000001192092896,0.3351771831512451,1737.889892578125,181.70382690429688,69.4256,4.2367,,,not re-run: ce_nl planner is not in the pinned code (unpublished commit 0274dda0); plot_reproduced.py uses the ref_* values
random_loc,m2signal3,Signal,8,DIFF-MA,bar,random_loc,yes,w88kqu0o,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/w88kqu0o,28eddb81,2026-07-11,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None -n 8 --planner diffusion --diffusion-method edm-ma --wandb-run-id qkmvppvt --num_candidates 8 --random-goals-region 1.5,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --wandb-log --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None --wandb-tags random-loc-signal-region a6 -n 8 --planner diffusion --diffusion-method edm-ma --wandb-run-id qkmvppvt --num_candidates 8 --random-goals-region 1.5,_repro_w88kqu0o,10,4800.0,6,15,None,edm-ma,False,False,1.5,greedy,,97.5,5.0,100.0,0.0,0.975000023841858,0.05000000074505806,1801.75,164.17539978027344,0.5808,0.1876,,,
random_loc,m2signal3,Signal,8,DIFF-SA,bar,random_loc,yes,f39mseae,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/f39mseae,28eddb81,2026-07-11,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None -n 8 --planner diffusion --diffusion-method edm --wandb-run-id qkmvppvt --random-goals-region 1.5,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --wandb-log --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None --wandb-tags random-loc-signal-region a6 -n 8 --planner diffusion --diffusion-method edm --wandb-run-id qkmvppvt --random-goals-region 1.5,_repro_f39mseae,10,4800.0,6,15,None,edm,False,False,1.5,greedy,,97.5,5.0,100.0,0.0,0.975000023841858,0.05000000074505806,1701.321533203125,235.506103515625,0.644,0.2429,,,
random_loc,m2signal3,Signal,8,STLPY-SA,bar,random_loc,yes,yxl6715l,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/yxl6715l,28eddb81,2026-07-11,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None -n 8 --planner stlpy --random-goals-region 1.5,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --wandb-log --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None --wandb-tags random-loc-signal-region a6 -n 8 --planner stlpy --random-goals-region 1.5,_repro_yxl6715l,10,4800.0,6,15,None,edm-ma,False,False,1.5,greedy,,91.25,11.25,100.0,0.0,0.912500023841858,0.11250000447034836,1029.8856201171875,46.46281814575195,20.225,1.1915,,,
random_loc,m2signal3,Signal,8,Gradient,bar,random_loc,no-code,4rf7k5mj,diff-mastl-test,https://wandb.ai/csbric/diff-mastl-test/runs/4rf7k5mj,0274dda0,2026-07-06,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --epi 5 --area-size 6 --obs 0 --seed 1234 --nojit-rollout --spec-len 30 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log -n 8 --spec m2signal3 --planner ce_nl --random-goals --random-goals-spacing 2,--path pretrained/DubinsCar/gcbf+/ --epi 5 --area-size 6 --obs 0 --seed 1234 --nojit-rollout --spec-len 30 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log -n 8 --spec m2signal3 --planner ce_nl --random-goals --random-goals-spacing 2,_repro_4rf7k5mj,5,4200.0,6,30,None,edm-ma,False,False,,,,7.5,6.123724356957946,95.0,10.0,0.10000000149011612,0.09354144334793092,1977.666748046875,182.6350250244141,66.5507,8.2994,,,not re-run: ce_nl planner is not in the pinned code (unpublished commit 0274dda0); plot_reproduced.py uses the ref_* values
random_loc,m2signal3,Signal,16,DIFF-MA,bar,random_loc,yes,cuaaektp,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/cuaaektp,28eddb81,2026-07-11,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None -n 16 --planner diffusion --diffusion-method edm-ma --wandb-run-id qkmvppvt --num_candidates 8 --random-goals-region 1.5,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --wandb-log --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None --wandb-tags random-loc-signal-region a6 -n 16 --planner diffusion --diffusion-method edm-ma --wandb-run-id qkmvppvt --num_candidates 8 --random-goals-region 1.5,_repro_cuaaektp,10,4800.0,6,15,None,edm-ma,False,False,1.5,greedy,,92.5,7.288689868556626,98.75,3.75,0.9375,0.07395099848508835,1904.805908203125,81.92698669433594,0.7222,0.3019,,,
random_loc,m2signal3,Signal,16,DIFF-SA,bar,random_loc,yes,rxdiagvs,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/rxdiagvs,28eddb81,2026-07-11,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None -n 16 --planner diffusion --diffusion-method edm --wandb-run-id qkmvppvt --random-goals-region 1.5,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --wandb-log --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None --wandb-tags random-loc-signal-region a6 -n 16 --planner diffusion --diffusion-method edm --wandb-run-id qkmvppvt --random-goals-region 1.5,_repro_rxdiagvs,10,4800.0,6,15,None,edm,False,False,1.5,greedy,,90.625,4.192627457812105,94.375,5.896238207535378,0.956250011920929,0.04001953080296517,1970.0322265625,149.3335418701172,0.7326,0.2018,,,
random_loc,m2signal3,Signal,16,STLPY-SA,bar,random_loc,yes,bybo5u0o,gcbfplus-stl-test,https://wandb.ai/csbric/gcbfplus-stl-test/runs/bybo5u0o,28eddb81,2026-07-11,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None -n 16 --planner stlpy --random-goals-region 1.5,--path ./pretrained/DubinsCar/gcbf+/ --epi 10 --area-size 6 --obs 0 --nojit-rollout --spec m2signal3 --spec-len 15 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --change_goal_immediately --wandb-log --random-goals --traced-goals --random-goals-spacing 2.0 --stl_mixed_spec_mode None --wandb-tags random-loc-signal-region a6 -n 16 --planner stlpy --random-goals-region 1.5,_repro_bybo5u0o,10,4800.0,6,15,None,edm-ma,False,False,1.5,greedy,,92.5,7.288689868556625,98.75,3.75,0.9312500357627868,0.0652519166469574,1168.361328125,96.0331039428711,41.3864,1.3455,,,
random_loc,m2signal3,Signal,16,Gradient,bar,random_loc,no-code,wpwgnkz5,diff-mastl-test,https://wandb.ai/csbric/diff-mastl-test/runs/wpwgnkz5,0274dda0,2026-07-06,workstation,,--path ./pretrained/DubinsCar/gcbf+/ --epi 5 --area-size 6 --obs 0 --seed 1234 --nojit-rollout --spec-len 30 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log -n 16 --spec m2signal3 --planner ce_nl --random-goals --random-goals-spacing 2,--path pretrained/DubinsCar/gcbf+/ --epi 5 --area-size 6 --obs 0 --seed 1234 --nojit-rollout --spec-len 30 --goal-sample-interval 20 --async-planner --ignore-on-finish --no-video --log --wandb-log -n 16 --spec m2signal3 --planner ce_nl --random-goals --random-goals-spacing 2,_repro_wpwgnkz5,5,4200.0,6,30,None,edm-ma,False,False,,,,10.0,7.500000000000001,100.0,0.0,0.10000000149011612,0.07500000298023224,2006.0001220703125,115.89027404785156,142.0017,16.0923,,,not re-run: ce_nl planner is not in the pinned code (unpublished commit 0274dda0); plot_reproduced.py uses the ref_* values
